ID_Cliente,Data_Adesao,Plano,Valor_Mensal,Logins_Mensais,Tickets_Suporte,Metodo_Pagamento,Meses_Permanencia,Churn,LTV
CUST-00100,2025-05-15,Basic,29.9,8,3,Boleto,16,0,478.4
CUST-00101,2025-07-16,Enterprise,249.9,0,8,Boleto,12,1,2998.8
CUST-00102,2024-10-18,Enterprise,249.9,23,1,Cartão de Crédito,16,0,3998.4
CUST-00103,2024-02-15,Enterprise,249.9,23,1,Pix,20,0,4998.0
CUST-00104,2024-01-02,Enterprise,249.9,12,8,Boleto,15,0,3748.5
CUST-00105,2024-02-25,Enterprise,249.9,15,9,Cartão de Crédito,18,0,4498.2
CUST-00106,2025-12-10,Pro,79.9,9,0,Pix,16,0,1278.4
CUST-00107,2025-06-16,Pro,79.9,5,6,Pix,14,0,1118.6
CUST-00108,2025-11-23,Basic,29.9,0,5,Cartão de Crédito,15,0,448.5
CUST-00109,2025-11-02,Enterprise,249.9,15,4,Pix,13,0,3248.7
CUST-00110,2024-10-10,Basic,29.9,28,9,Pix,14,0,418.6
CUST-00111,2024-07-20,Pro,79.9,4,7,Boleto,5,1,399.5
CUST-00112,2024-11-07,Pro,79.9,28,6,Pix,20,0,1598.0
CUST-00113,2025-07-04,Pro,79.9,9,0,Cartão de Crédito,21,0,1677.9
CUST-00114,2024-09-28,Basic,29.9,1,9,Cartão de Crédito,1,1,29.9
CUST-00115,2025-09-06,Basic,29.9,5,0,Boleto,24,0,717.6
CUST-00116,2024-11-11,Pro,79.9,9,1,Boleto,20,0,1598.0
CUST-00117,2025-03-28,Basic,29.9,4,9,Pix,8,1,239.2
CUST-00118,2024-07-11,Basic,29.9,6,9,Boleto,21,0,627.9
CUST-00119,2024-05-17,Pro,79.9,28,7,Pix,4,1,319.6
CUST-00120,2024-01-02,Basic,29.9,30,1,Boleto,17,0,508.3
CUST-00121,2024-07-12,Enterprise,249.9,11,4,Boleto,22,0,5497.8
CUST-00122,2024-11-16,Pro,79.9,25,5,Boleto,22,0,1757.8
CUST-00123,2025-03-10,Enterprise,249.9,5,5,Pix,16,0,3998.4
CUST-00124,2025-09-21,Enterprise,249.9,1,9,Boleto,5,1,1249.5
CUST-00125,2024-08-31,Basic,29.9,1,2,Cartão de Crédito,12,1,358.8
CUST-00126,2025-07-10,Pro,79.9,1,4,Pix,15,0,1198.5
CUST-00127,2024-06-18,Basic,29.9,22,7,Boleto,2,1,59.8
CUST-00128,2025-10-08,Enterprise,249.9,25,1,Boleto,23,0,5747.7
CUST-00129,2024-12-06,Basic,29.9,0,8,Cartão de Crédito,8,1,239.2
CUST-00130,2025-03-28,Basic,29.9,2,3,Pix,6,1,179.4
CUST-00131,2024-01-13,Basic,29.9,27,3,Boleto,24,0,717.6
CUST-00132,2025-04-28,Basic,29.9,15,4,Cartão de Crédito,18,0,538.2
CUST-00133,2024-01-07,Basic,29.9,22,5,Pix,18,0,538.2
CUST-00134,2024-11-24,Basic,29.9,3,2,Pix,1,1,29.9
CUST-00135,2025-01-09,Basic,29.9,6,6,Boleto,17,0,508.3
CUST-00136,2025-10-23,Basic,29.9,26,3,Pix,22,0,657.8
CUST-00137,2025-12-03,Enterprise,249.9,4,1,Pix,23,0,5747.7
CUST-00138,2025-07-23,Basic,29.9,0,1,Pix,22,0,657.8
CUST-00139,2025-12-31,Pro,79.9,4,10,Boleto,5,1,399.5
CUST-00140,2025-09-25,Enterprise,249.9,19,8,Cartão de Crédito,17,0,4248.3
CUST-00141,2025-03-04,Enterprise,249.9,26,2,Pix,18,0,4498.2
CUST-00142,2024-04-15,Pro,79.9,17,5,Pix,19,0,1518.1
CUST-00143,2024-01-05,Enterprise,249.9,23,4,Cartão de Crédito,24,0,5997.6
CUST-00144,2025-09-02,Enterprise,249.9,1,1,Cartão de Crédito,11,1,2748.9
CUST-00145,2025-06-29,Pro,79.9,4,6,Boleto,15,0,1198.5
CUST-00146,2025-08-16,Basic,29.9,27,6,Pix,5,1,149.5
CUST-00147,2025-11-26,Pro,79.9,17,10,Cartão de Crédito,10,1,799.0
CUST-00148,2025-12-07,Pro,79.9,27,8,Cartão de Crédito,7,1,559.3
CUST-00149,2025-10-30,Enterprise,249.9,24,8,Cartão de Crédito,8,1,1999.2
CUST-00150,2024-08-19,Basic,29.9,26,7,Cartão de Crédito,12,1,358.8
CUST-00151,2024-12-02,Pro,79.9,15,8,Boleto,23,0,1837.7
CUST-00152,2025-05-23,Basic,29.9,11,5,Pix,24,0,717.6
CUST-00153,2024-10-02,Basic,29.9,9,1,Pix,7,1,209.3
CUST-00154,2024-03-26,Basic,29.9,29,3,Boleto,15,0,448.5
CUST-00155,2025-05-04,Basic,29.9,15,2,Boleto,13,0,388.7
CUST-00156,2024-12-31,Pro,79.9,14,1,Pix,21,0,1677.9
CUST-00157,2025-07-29,Enterprise,249.9,20,10,Boleto,13,0,3248.7
CUST-00158,2025-06-27,Enterprise,249.9,11,6,Cartão de Crédito,15,0,3748.5
CUST-00159,2025-03-17,Enterprise,249.9,27,3,Pix,4,1,999.6
CUST-00160,2024-05-28,Pro,79.9,10,3,Cartão de Crédito,13,0,1038.7
CUST-00161,2024-12-02,Pro,79.9,12,1,Boleto,17,0,1358.3
CUST-00162,2025-10-21,Basic,29.9,18,5,Pix,16,0,478.4
CUST-00163,2025-08-11,Enterprise,249.9,28,8,Boleto,2,1,499.8
CUST-00164,2024-04-24,Enterprise,249.9,26,8,Pix,14,0,3498.6
CUST-00165,2025-01-25,Pro,79.9,2,10,Boleto,3,1,239.7
CUST-00166,2025-06-15,Pro,79.9,21,0,Boleto,18,0,1438.2
CUST-00167,2024-05-04,Enterprise,249.9,13,7,Boleto,16,0,3998.4
CUST-00168,2025-08-31,Enterprise,249.9,16,9,Cartão de Crédito,19,0,4748.1
CUST-00169,2024-03-13,Basic,29.9,13,6,Boleto,11,1,328.9
CUST-00170,2025-09-14,Enterprise,249.9,29,9,Cartão de Crédito,12,1,2998.8
CUST-00171,2025-04-15,Basic,29.9,27,3,Pix,16,0,478.4
CUST-00172,2025-12-23,Basic,29.9,27,3,Boleto,22,0,657.8
CUST-00173,2024-09-22,Enterprise,249.9,30,2,Boleto,8,1,1999.2
CUST-00174,2025-08-22,Enterprise,249.9,25,5,Cartão de Crédito,14,0,3498.6
CUST-00175,2024-04-23,Basic,29.9,17,7,Pix,4,1,119.6
CUST-00176,2024-06-18,Pro,79.9,7,3,Boleto,24,0,1917.6
CUST-00177,2024-09-19,Enterprise,249.9,1,9,Cartão de Crédito,11,1,2748.9
CUST-00178,2025-05-20,Enterprise,249.9,25,3,Boleto,15,0,3748.5
CUST-00179,2024-01-18,Pro,79.9,19,9,Pix,24,0,1917.6
CUST-00180,2024-05-08,Pro,79.9,14,5,Boleto,17,0,1358.3
CUST-00181,2024-05-30,Basic,29.9,30,5,Boleto,24,0,717.6
CUST-00182,2024-01-06,Basic,29.9,25,10,Cartão de Crédito,10,1,299.0
CUST-00183,2024-11-11,Enterprise,249.9,12,6,Pix,22,0,5497.8
CUST-00184,2024-03-26,Enterprise,249.9,6,3,Boleto,8,1,1999.2
CUST-00185,2024-09-03,Enterprise,249.9,19,5,Pix,17,0,4248.3
CUST-00186,2024-01-10,Pro,79.9,7,2,Pix,20,0,1598.0
CUST-00187,2025-02-17,Pro,79.9,18,1,Cartão de Crédito,19,0,1518.1
CUST-00188,2024-09-28,Basic,29.9,19,0,Pix,1,1,29.9
CUST-00189,2024-07-01,Pro,79.9,30,0,Pix,23,0,1837.7
CUST-00190,2025-06-19,Pro,79.9,13,6,Boleto,22,0,1757.8
CUST-00191,2024-04-12,Enterprise,249.9,2,4,Cartão de Crédito,22,0,5497.8
CUST-00192,2025-12-01,Enterprise,249.9,5,7,Boleto,12,1,2998.8
CUST-00193,2024-04-06,Basic,29.9,10,2,Pix,10,1,299.0
CUST-00194,2024-07-17,Basic,29.9,22,0,Pix,21,0,627.9
CUST-00195,2025-08-25,Pro,79.9,23,10,Pix,1,1,79.9
CUST-00196,2024-11-12,Enterprise,249.9,25,6,Pix,20,0,4998.0
CUST-00197,2024-03-31,Basic,29.9,14,5,Pix,21,0,627.9
CUST-00198,2025-05-24,Basic,29.9,11,6,Cartão de Crédito,10,1,299.0
CUST-00199,2025-06-07,Pro,79.9,18,6,Pix,9,1,719.1
CUST-00200,2024-04-23,Enterprise,249.9,29,6,Pix,17,0,4248.3
CUST-00201,2024-11-18,Pro,79.9,27,1,Boleto,18,0,1438.2
CUST-00202,2024-07-07,Enterprise,249.9,5,3,Boleto,8,1,1999.2
CUST-00203,2024-02-19,Enterprise,249.9,29,7,Boleto,7,1,1749.3
CUST-00204,2025-11-03,Pro,79.9,14,0,Boleto,13,0,1038.7
CUST-00205,2025-02-06,Enterprise,249.9,26,10,Boleto,10,1,2499.0
CUST-00206,2024-04-26,Basic,29.9,21,4,Cartão de Crédito,24,0,717.6
CUST-00207,2024-08-19,Basic,29.9,19,8,Boleto,13,0,388.7
CUST-00208,2025-03-20,Basic,29.9,23,3,Boleto,16,0,478.4
CUST-00209,2025-03-01,Pro,79.9,22,0,Pix,7,1,559.3
CUST-00210,2024-08-12,Basic,29.9,14,3,Cartão de Crédito,18,0,538.2
CUST-00211,2024-06-07,Pro,79.9,16,4,Boleto,16,0,1278.4
CUST-00212,2024-01-05,Enterprise,249.9,21,4,Pix,15,0,3748.5
CUST-00213,2024-02-20,Enterprise,249.9,22,4,Cartão de Crédito,17,0,4248.3
CUST-00214,2025-09-29,Enterprise,249.9,16,6,Cartão de Crédito,13,0,3248.7
CUST-00215,2025-12-21,Enterprise,249.9,11,5,Cartão de Crédito,15,0,3748.5
CUST-00216,2025-09-22,Enterprise,249.9,20,2,Cartão de Crédito,20,0,4998.0
CUST-00217,2024-10-14,Enterprise,249.9,2,2,Boleto,6,1,1499.4
CUST-00218,2025-01-05,Pro,79.9,24,6,Boleto,13,0,1038.7
CUST-00219,2025-01-02,Pro,79.9,18,2,Cartão de Crédito,18,0,1438.2
CUST-00220,2024-06-17,Pro,79.9,20,2,Cartão de Crédito,15,0,1198.5
CUST-00221,2024-05-03,Pro,79.9,1,8,Boleto,23,0,1837.7
CUST-00222,2025-01-03,Enterprise,249.9,9,5,Cartão de Crédito,23,0,5747.7
CUST-00223,2025-09-22,Pro,79.9,24,2,Cartão de Crédito,16,0,1278.4
CUST-00224,2025-08-29,Enterprise,249.9,18,4,Pix,1,1,249.9
CUST-00225,2025-01-11,Basic,29.9,19,4,Pix,22,0,657.8
CUST-00226,2025-03-11,Enterprise,249.9,22,3,Boleto,14,0,3498.6
CUST-00227,2025-11-17,Basic,29.9,3,9,Pix,11,1,328.9
CUST-00228,2025-02-04,Pro,79.9,8,5,Cartão de Crédito,19,0,1518.1
CUST-00229,2024-04-07,Basic,29.9,30,9,Cartão de Crédito,16,0,478.4
CUST-00230,2024-04-05,Basic,29.9,26,1,Cartão de Crédito,13,0,388.7
CUST-00231,2024-10-01,Basic,29.9,23,8,Boleto,22,0,657.8
CUST-00232,2024-02-24,Enterprise,249.9,3,2,Cartão de Crédito,23,0,5747.7
CUST-00233,2025-06-06,Basic,29.9,10,0,Pix,23,0,687.7
CUST-00234,2025-04-07,Pro,79.9,17,8,Cartão de Crédito,24,0,1917.6
CUST-00235,2024-09-15,Pro,79.9,13,9,Cartão de Crédito,17,0,1358.3
CUST-00236,2024-11-08,Basic,29.9,9,2,Cartão de Crédito,21,0,627.9
CUST-00237,2024-12-23,Pro,79.9,25,5,Pix,2,1,159.8
CUST-00238,2024-01-09,Pro,79.9,22,7,Cartão de Crédito,13,0,1038.7
CUST-00239,2025-11-01,Enterprise,249.9,5,1,Boleto,21,0,5247.9
CUST-00240,2024-12-15,Enterprise,249.9,29,5,Pix,17,0,4248.3
CUST-00241,2025-11-20,Pro,79.9,13,8,Boleto,13,0,1038.7
CUST-00242,2024-05-07,Enterprise,249.9,9,4,Boleto,17,0,4248.3
CUST-00243,2025-04-02,Pro,79.9,17,7,Pix,16,0,1278.4
CUST-00244,2025-11-24,Enterprise,249.9,21,9,Cartão de Crédito,21,0,5247.9
CUST-00245,2025-05-24,Pro,79.9,15,2,Cartão de Crédito,2,1,159.8
CUST-00246,2025-04-14,Pro,79.9,23,0,Cartão de Crédito,23,0,1837.7
CUST-00247,2024-10-25,Basic,29.9,8,7,Pix,20,0,598.0
CUST-00248,2025-02-07,Pro,79.9,11,3,Boleto,17,0,1358.3
CUST-00249,2025-06-27,Enterprise,249.9,4,3,Pix,2,1,499.8
CUST-00250,2025-10-31,Pro,79.9,28,6,Cartão de Crédito,19,0,1518.1
CUST-00251,2024-06-25,Basic,29.9,1,7,Boleto,5,1,149.5
CUST-00252,2025-11-10,Pro,79.9,9,5,Cartão de Crédito,22,0,1757.8
CUST-00253,2025-12-01,Enterprise,249.9,10,3,Cartão de Crédito,18,0,4498.2
CUST-00254,2024-02-04,Basic,29.9,2,1,Cartão de Crédito,9,1,269.1
CUST-00255,2024-08-17,Pro,79.9,19,4,Cartão de Crédito,18,0,1438.2
CUST-00256,2025-09-10,Enterprise,249.9,1,2,Cartão de Crédito,24,0,5997.6
CUST-00257,2024-07-23,Enterprise,249.9,4,4,Cartão de Crédito,20,0,4998.0
CUST-00258,2024-08-18,Pro,79.9,3,1,Boleto,15,0,1198.5
CUST-00259,2024-11-15,Enterprise,249.9,20,0,Cartão de Crédito,23,0,5747.7
CUST-00260,2025-05-15,Pro,79.9,7,7,Boleto,23,0,1837.7
CUST-00261,2025-03-16,Basic,29.9,17,8,Boleto,12,1,358.8
CUST-00262,2025-05-16,Enterprise,249.9,7,1,Cartão de Crédito,14,0,3498.6
CUST-00263,2024-03-28,Enterprise,249.9,26,3,Boleto,18,0,4498.2
CUST-00264,2025-08-04,Enterprise,249.9,26,7,Pix,14,0,3498.6
CUST-00265,2024-03-11,Pro,79.9,4,2,Cartão de Crédito,12,1,958.8
CUST-00266,2025-01-09,Pro,79.9,24,10,Cartão de Crédito,11,1,878.9
CUST-00267,2025-07-11,Basic,29.9,22,3,Boleto,20,0,598.0
CUST-00268,2025-04-19,Enterprise,249.9,27,10,Boleto,22,0,5497.8
CUST-00269,2025-08-16,Basic,29.9,3,4,Pix,18,0,538.2
CUST-00270,2024-11-18,Basic,29.9,11,5,Pix,20,0,598.0
CUST-00271,2024-01-18,Enterprise,249.9,4,1,Pix,23,0,5747.7
CUST-00272,2025-12-06,Enterprise,249.9,15,5,Boleto,12,1,2998.8
CUST-00273,2024-07-14,Basic,29.9,11,6,Boleto,8,1,239.2
CUST-00274,2024-05-03,Basic,29.9,16,6,Boleto,15,0,448.5
CUST-00275,2025-02-22,Enterprise,249.9,10,10,Boleto,13,0,3248.7
CUST-00276,2024-03-10,Enterprise,249.9,18,8,Cartão de Crédito,10,1,2499.0
CUST-00277,2024-06-19,Pro,79.9,16,4,Boleto,22,0,1757.8
CUST-00278,2025-01-10,Pro,79.9,21,1,Cartão de Crédito,5,1,399.5
CUST-00279,2025-06-09,Basic,29.9,6,8,Boleto,4,1,119.6
CUST-00280,2025-03-22,Pro,79.9,22,4,Cartão de Crédito,24,0,1917.6
CUST-00281,2025-05-13,Basic,29.9,18,6,Cartão de Crédito,17,0,508.3
CUST-00282,2024-01-12,Basic,29.9,19,4,Cartão de Crédito,16,0,478.4
CUST-00283,2025-08-27,Pro,79.9,29,3,Cartão de Crédito,13,0,1038.7
CUST-00284,2025-02-07,Basic,29.9,9,7,Pix,16,0,478.4
CUST-00285,2025-01-09,Enterprise,249.9,22,2,Pix,17,0,4248.3
CUST-00286,2025-09-05,Enterprise,249.9,20,4,Boleto,15,0,3748.5
CUST-00287,2025-10-10,Pro,79.9,13,2,Boleto,23,0,1837.7
CUST-00288,2025-12-26,Pro,79.9,5,0,Cartão de Crédito,20,0,1598.0
CUST-00289,2024-05-15,Enterprise,249.9,11,1,Cartão de Crédito,16,0,3998.4
CUST-00290,2024-01-26,Enterprise,249.9,10,10,Pix,10,1,2499.0
CUST-00291,2025-06-19,Enterprise,249.9,20,3,Boleto,21,0,5247.9
CUST-00292,2025-04-15,Enterprise,249.9,24,10,Boleto,9,1,2249.1
CUST-00293,2024-06-29,Basic,29.9,28,10,Boleto,18,0,538.2
CUST-00294,2025-02-23,Enterprise,249.9,30,0,Boleto,20,0,4998.0
CUST-00295,2025-12-08,Enterprise,249.9,6,3,Boleto,19,0,4748.1
CUST-00296,2024-11-14,Enterprise,249.9,27,1,Cartão de Crédito,15,0,3748.5
CUST-00297,2024-04-29,Enterprise,249.9,20,7,Boleto,19,0,4748.1
CUST-00298,2024-02-23,Enterprise,249.9,5,2,Boleto,22,0,5497.8
CUST-00299,2024-12-27,Basic,29.9,16,4,Boleto,14,0,418.6
CUST-00300,2025-10-09,Basic,29.9,2,5,Boleto,20,0,598.0
CUST-00301,2025-04-07,Pro,79.9,13,5,Pix,17,0,1358.3
CUST-00302,2025-04-06,Pro,79.9,14,1,Pix,23,0,1837.7
CUST-00303,2024-04-10,Pro,79.9,8,2,Boleto,14,0,1118.6
CUST-00304,2025-11-17,Basic,29.9,4,2,Cartão de Crédito,16,0,478.4
CUST-00305,2025-01-09,Pro,79.9,17,10,Cartão de Crédito,11,1,878.9
CUST-00306,2025-05-27,Pro,79.9,27,3,Pix,10,1,799.0
CUST-00307,2024-11-07,Basic,29.9,21,1,Pix,11,1,328.9
CUST-00308,2024-12-09,Enterprise,249.9,29,1,Pix,17,0,4248.3
CUST-00309,2025-12-22,Pro,79.9,4,6,Cartão de Crédito,11,1,878.9
CUST-00310,2025-04-01,Pro,79.9,6,4,Boleto,21,0,1677.9
CUST-00311,2024-11-13,Pro,79.9,9,2,Boleto,20,0,1598.0
CUST-00312,2025-11-18,Pro,79.9,10,4,Cartão de Crédito,22,0,1757.8
CUST-00313,2024-05-04,Pro,79.9,12,2,Pix,15,0,1198.5
CUST-00314,2025-09-27,Pro,79.9,8,7,Cartão de Crédito,18,0,1438.2
CUST-00315,2025-09-07,Pro,79.9,26,8,Boleto,15,0,1198.5
CUST-00316,2025-09-12,Basic,29.9,13,2,Pix,8,1,239.2
CUST-00317,2024-11-12,Pro,79.9,24,3,Pix,13,0,1038.7
CUST-00318,2025-10-09,Enterprise,249.9,23,2,Cartão de Crédito,21,0,5247.9
CUST-00319,2024-10-01,Basic,29.9,20,9,Cartão de Crédito,17,0,508.3
CUST-00320,2024-11-19,Basic,29.9,20,7,Cartão de Crédito,1,1,29.9
CUST-00321,2025-12-21,Pro,79.9,22,0,Cartão de Crédito,21,0,1677.9
CUST-00322,2025-06-06,Enterprise,249.9,13,10,Boleto,23,0,5747.7
CUST-00323,2024-11-02,Basic,29.9,1,10,Cartão de Crédito,15,0,448.5
CUST-00324,2025-09-24,Basic,29.9,0,2,Pix,10,1,299.0
CUST-00325,2024-07-01,Basic,29.9,18,6,Pix,10,1,299.0
CUST-00326,2025-08-28,Enterprise,249.9,19,1,Boleto,20,0,4998.0
CUST-00327,2024-10-13,Basic,29.9,30,2,Pix,17,0,508.3
CUST-00328,2024-01-31,Basic,29.9,14,8,Pix,16,0,478.4
CUST-00329,2024-02-05,Basic,29.9,8,3,Pix,13,0,388.7
CUST-00330,2024-05-22,Basic,29.9,8,0,Cartão de Crédito,23,0,687.7
CUST-00331,2024-06-19,Basic,29.9,7,7,Cartão de Crédito,21,0,627.9
CUST-00332,2025-02-01,Pro,79.9,20,3,Boleto,19,0,1518.1
